Economy,Albania,Algeria,American Samoa,Angola,Anguilla,Antigua and Barbuda,Argentina,Aruba,Australia,Bahamas,Bahrain,Bangladesh,Barbados,Belgium,Belize,Benin,Bermuda,"Bonaire, Sint Eustatius and Saba",Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Chile,China,"China, Hong Kong SAR","China, Taiwan Province of",Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo,"Congo, Dem. Rep. of the",Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,  French Guiana,  Guadeloupe,  Martinique,  Mayotte,  Réunion,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kiribati,"Korea, Dem. People's Rep. of","Korea, Republic of",Kuwait,Latvia,Lebanon,Liberia,Libya,Lithuania,Madagascar,Malaysia,Maldives,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),"Moldova, Republic of",Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Nigeria,Niue,Norfolk Island,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia and Montenegro,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sudan (...2011),Suriname,Sweden,Syrian Arab Republic,"Tanzania, United Republic of",Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Türkiye,Turks and Caicos Islands,Tuvalu,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Rep. of),Viet Nam,Wallis and Futuna Islands,Yemen
Q1 2006,..,10.56899858,7.0985759,13.02093182,2.071256692,5.99402358,26.16639583,7.981747195,26.16997125,20.05284627,7.108536604,7.733557213,7.785773122,72.41043943,3.335406071,11.81641198,1.629251861,_,32.86969996,4.381958546,4.245545591,7.688425291,3.527336184,3.581440215,14.74515838,32.89180084,2.186711542,17.17719566,100,84.15475112,59.31459426,..,0.879856338,24.25748438,4.080930533,11.51916005,4.660835259,0.642897584,15.98987477,15.40529881,10.66769333,7.816754735,_,16.24032172,22.88621692,11.46522492,5.031922837,21.48543601,16.03895832,45.64188838,7.367360582,5.068472864,4.157340431,6.788664963,..,4.205038214,7.897633578,12.44488205,56.97905414,6.07416805,10.21002544,10.40104262,6.3691439,12.87466161,10.37989353,9.874104201,4.030912516,4.534965083,75.58880581,15.47200207,1.846230632,29.74338255,1.893289621,5.405725585,8.526108591,20.56486634,8.830609569,2.713048049,7.42431722,3.951359141,11.76513407,5.090222932,42.24236041,33.91174047,18.3818128,3.166290397,11.13543113,22.93377811,57.20976999,25.74402711,72.69402448,17.44320533,11.61963357,..,0.697203598,68.17327532,11.09533773,7.16608532,24.1963817,4.101002832,10.05776246,5.613982988,10.43952358,63.95027969,5.401090593,26.61170847,3.599419084,6.706353814,14.92205036,31.65706276,1.555097032,..,_,..,11.01203974,8.520986834,3.578620307,9.490396718,..,71.24734735,12.69949679,10.93050951,20.2519183,5.304418347,15.73666469,..,0.883268517,2.534430453,7.167589568,22.9487072,24.14348274,2.534430453,24.73216989,8.335525475,..,17.24785397,19.76732125,8.891009517,26.46108134,8.258356312,16.00067094,18.51983305,3.165152825,5.406784784,5.681729525,7.608801568,3.832115665,39.49933576,13.42096038,1.544200561,5.444181623,4.101002832,81.5812103,_,14.2533375,5.630927664,3.563117111,26.82335537,65.36359866,31.94139193,_,8.571848539,7.42431722,28.21876886,11.82709448,10.99154452,36.09046855,1.999045027,12.68744174,6.020520145,15.68623308,9.164932793,29.81666746,1.357542367,..,12.92313735,47.44410429,78.79801995,79.11027,17.08763055,5.80614389,22.64302576,20.54523977,2.486032911,13.04041993
Q2 2006,..,10.63971825,7.097842608,13.37156082,2.239919011,6.238812813,25.82988327,8.42224401,26.46405084,19.03118117,7.933615927,8.078231286,7.785773122,72.98120394,3.335406071,10.33968665,1.629251861,_,32.81686069,4.329442697,4.248384247,7.976034576,3.505328723,3.582817175,14.53442697,34.12688896,2.186711542,17.75770964,102.1290117,84.52333356,59.19080146,..,0.879856338,26.40170849,3.909540414,11.98665348,4.661531683,0.642897584,16.3602242,15.84437649,10.93958455,7.69018651,_,16.03687513,23.33496622,11.60855251,4.730656348,21.34558681,15.35206131,46.4057841,8.292541933,5.339028715,3.768799731,6.439291948,..,4.205038214,9.084739052,12.6605843,56.74198253,6.07416805,10.15805685,10.40104262,6.37025056,12.97740562,10.52969408,9.603092294,4.303615321,4.415175574,77.36032174,15.75060086,2.452722518,32.81560316,1.893289621,5.405725585,8.526108591,20.69236773,9.680871611,5.127843418,7.42431722,4.227979455,11.91313939,5.093411123,40.55382334,34.73841659,20.25763499,3.166290397,10.87251285,23.03894769,57.54379682,26.25553778,75.20060456,18.00002459,12.59402549,..,0.697203598,68.30200654,10.63770421,7.375003413,21.16670748,4.572647979,10.0746144,7.364395207,10.15229743,64.80198975,3.202561196,30.06474605,3.97764781,7.191454839,14.80654175,31.22434479,1.555097032,..,_,..,11.35940252,8.519268224,4.068805991,9.482372121,..,72.50530344,12.68842638,10.97451291,20.29911258,7.761982937,15.95506367,..,0.555914466,2.534430453,7.282423651,22.75655039,24.83326068,2.534430453,25.34591254,8.851795695,..,17.8273346,18.76442501,9.504413151,26.96810956,7.631328326,16.5732922,19.03483946,3.01451958,5.406784784,5.681729525,7.608068276,3.832293081,39.02087068,14.02794154,1.544200561,6.757476095,4.572647979,80.23471719,_,12.50726069,6.591170949,3.563117111,26.99536356,67.7039121,35.36456068,_,5.719716045,7.694474377,28.0952388,11.90179168,11.88514838,36.85927654,1.574660887,12.52573023,5.741709532,16.26642039,8.753692705,29.8488301,1.357542367,..,12.35333277,47.47570184,80.15815119,80.45181032,19.93947443,6.163798792,22.40372578,20.72833875,2.486032911,13.77120474
Q3 2006,..,10.74007761,9.742709201,13.53609241,..,6.240380429,25.51723767,6.660404681,26.32102354,19.10682575,7.92017722,8.135096424,7.787340737,73.98772736,2.926310716,10.50742461,1.629251861,_,32.10892795,4.080692057,3.7658751,7.973746704,5.193017773,4.426293887,14.49313703,32.1516533,2.28298593,17.61619498,103.5332544,84.69498004,58.47189293,..,0.879856338,27.13287102,4.947362724,11.71801923,4.158022971,0.642897584,16.28308042,16.97652276,11.24792159,7.643658018,_,16.55170725,23.59787845,11.83530307,4.730656348,21.09618144,15.89481376,47.19471968,8.199228383,4.967286179,4.144603704,6.822429331,..,4.205038214,10.53187284,13.87528667,57.33544145,6.07416805,9.909938195,10.40104262,6.160589417,12.96643341,10.9176213,8.626057213,4.238471937,4.620384733,77.78758428,16.78406284,2.671970356,32.52799004,1.893289621,5.405725585,8.746807534,18.82940871,10.27626888,4.978247085,7.728422536,6.643421766,12.50316279,5.093411123,38.44451069,33.67532038,25.71716049,1.953447268,10.98385229,23.23830742,58.2172063,24.84908601,75.9909659,17.12195699,12.80202401,..,0.697203598,68.88589742,10.73293056,7.452599207,24.08081994,4.753603705,10.35186063,7.299134568,10.32801979,66.46282089,3.202561196,30.60381934,4.669608749,7.106882111,15.23268374,30.77593662,2.755129396,..,_,..,11.46832559,8.521453889,3.804156672,9.344545928,..,73.28251339,12.65570556,11.49355441,20.16293497,7.910182162,16.17576577,..,0.555914466,1.555097032,7.200032184,22.36829968,24.23392922,2.535542613,25.78545723,9.181543638,..,18.59921081,18.38509312,10.05838171,28.09596065,7.643580608,20.63203929,18.88761761,3.01451958,5.406784784,5.681729525,8.782465916,3.849378544,41.24339005,15.15661635,1.544200561,6.960607123,4.753603705,79.96184655,_,12.81744074,5.572999703,3.563117111,27.25393231,69.1249239,34.96805232,_,7.701474531,8.000486253,29.54496386,11.74820189,12.08677107,37.25707297,1.011784983,13.01685196,5.741175044,16.26138986,8.974836511,33.82528601,1.357542367,..,15.84525638,48.89323001,80.7239185,80.57233004,19.45781573,6.013165548,22.37061519,20.31429592,2.486032911,16.28374673
Q4 2006,1.55281443,11.01996485,9.356418078,13.44301503,..,6.240380429,25.17283563,6.662451055,26.21659482,19.08299565,7.92017722,8.140244135,7.918179097,73.4796827,2.926310716,11.40545704,1.629251861,_,32.14795336,4.080692057,3.7656103,7.311801651,5.193017773,4.581418138,14.53016042,32.80738829,2.28298593,17.52695219,106.7126568,87.26401925,58.21508406,..,0.879856338,26.25329229,4.98712211,11.79830286,4.158022971,0.642897584,17.92200661,17.03120794,11.09231922,7.653420038,_,16.52409671,29.75079919,13.46964926,4.730656348,24.10716577,16.24060504,46.99717374,8.203948134,4.955808238,4.162771181,6.121030347,..,4.355671459,10.70388083,12.98918582,57.93417246,5.905317313,9.61839516,10.23498464,6.311222662,13.09385353,10.8572465,8.788480366,4.067915055,4.472971456,79.45675314,16.66704851,2.671970356,32.71586037,1.893289621,5.405725585,8.746807534,18.57864098,10.46761081,4.978247085,6.946118471,6.643061638,12.50088918,5.243398256,39.03195049,33.47856699,26.07789756,1.838436944,11.3359491,23.26223701,59.90006212,23.4558018,80.36861156,16.98997245,13.08256747,..,0.697203598,69.11844316,10.7357904,6.763664358,24.52530191,4.986393763,10.83848408,7.52696637,10.58657537,69.58642497,3.202561196,28.64706413,4.669608749,8.613790663,15.34720769,31.3788612,2.755129396,..,_,..,11.30058618,7.676247302,3.804156672,9.005362911,..,75.04906069,12.78972364,11.66469915,20.510786,7.912960047,16.43942377,..,0.555914466,1.555097032,8.844132274,28.12356914,24.80420744,2.535542613,26.37161822,9.352651304,..,18.35772273,19.14433198,10.14185049,27.7890341,7.643580608,20.81824928,19.30249655,3.01451958,5.406784784,5.681729525,8.396174793,3.689890944,41.19807162,15.23804229,1.544200561,7.000366509,4.582496039,84.27842434,_,13.63993379,5.572999703,4.187994107,28.36188108,71.35349689,38.64377832,_,7.735453238,8.080503483,33.98747645,11.77352358,12.64597485,37.63898612,1.011784983,12.80126366,5.249064962,16.5752636,9.443360211,34.09670865,1.357542367,..,16.19295069,48.47597938,83.99711583,79.74308864,18.61363842,6.184273214,24.41749747,20.93025413,1.79757498,16.67312767
Q1 2007,2.021245401,8.837264939,9.205784833,12.75050604,..,6.240380429,24.69458184,7.114535796,26.7886793,19.29843994,8.30658191,8.145582502,7.18219977,73.53295319,3.192280222,10.85137271,1.629251861,_,32.36029557,4.080692057,3.971782153,7.038204881,5.193017773,4.576312795,14.28798778,32.42950045,2.28298593,17.55418486,108.2260772,86.75770729,59.36494725,..,0.879856338,22.5876874,4.98765171,11.33916668,3.85940594,0.642897584,18.27008335,16.0387399,11.79228828,7.658109076,_,16.83472989,29.49913749,14.55205111,4.730656348,23.08951159,16.70075064,44.22172126,8.198086159,5.33016294,3.9738219,6.494314022,..,4.355671459,10.49363164,13.84559095,58.84831767,5.905317313,9.618391629,10.2367182,6.311222662,14.45246068,11.18560561,9.929429767,3.978005807,4.061392471,78.82543602,17.42816287,2.672139828,29.20746082,..,6.525988481,8.175591347,17.70566961,9.677226941,4.978247085,7.029648634,7.152306748,12.07765667,5.243398256,40.61812706,34.90745686,25.74279569,0.844442807,13.0629512,23.07635928,59.59043437,22.57223418,80.01185365,17.29474879,12.93615375,..,0.633071651,70.10908238,10.52252044,7.023160581,23.80446272,4.816366953,11.63343061,7.491792645,10.58710497,70.88761908,3.202561196,28.54797652,4.669608749,8.625357947,17.13059925,30.77906891,3.638423696,..,_,..,10.83698598,7.675568395,3.119568296,8.937740135,..,74.79620079,13.8646266,12.1417257,20.88416042,7.922795413,17.54638555,..,0.555914466,1.597223971,9.286350378,28.54487386,23.77170785,3.364040559,26.37341067,9.354521199,..,17.71590198,18.88681187,9.993370537,27.54411684,7.643580608,20.566037,20.38761174,3.01451958,6.234856176,6.801992421,8.245541548,2.262275039,43.39521843,16.52695081,1.544200561,7.001506208,4.423172793,84.48893957,_,13.97440483,5.572999703,4.187994107,29.05833362,71.40514735,39.03414728,_,7.074499797,7.05064123,34.10796367,9.273889252,12.11768937,36.70316253,1.011784983,12.45512373,5.249064962,16.43725042,9.362296002,32.9378686,1.357542367,..,15.9576109,49.28364324,82.52429285,77.11816931,17.84273914,6.184273214,23.44385767,20.92625565,1.79757498,16.52030191
Q2 2007,2.021245401,9.126671266,9.205784833,12.9822929,2.53528181,6.240380429,24.87140637,7.143210182,27.38922904,19.68483184,7.378341919,9.979230571,7.780033847,73.74549506,3.192280222,11.18325587,1.629251861,_,33.29285795,4.080692057,3.236547488,7.824319017,3.600883889,4.1657263,14.72064467,32.473524,2.28298593,17.78898629,109.8146436,87.87437117,57.76510462,..,0.879856338,23.28065889,4.98765171,11.87485345,3.76506713,0.642897584,18.11599884,15.83277237,12.73023644,7.647523825,_,16.50911622,22.31486117,15.25571073,4.72891926,23.900008,15.585966,43.06605448,8.214565581,5.338187306,2.993380228,6.005995915,..,4.355671459,10.50249185,13.38022149,57.93000966,6.716966325,9.600581095,10.08360559,4.393178375,14.59889719,11.1787079,10.18124918,3.978005807,4.115907067,78.40638989,17.33115162,2.672139828,26.10144742,..,6.832748686,8.185615614,17.98016433,9.206303533,3.545940876,7.206150325,3.590559398,12.08452633,5.243398256,42.34996272,34.82729868,25.54529494,3.364564275,12.54783087,23.48357626,57.75416829,22.3722044,72.836255,19.79483412,12.76168772,..,0.633071651,69.8629279,10.62639989,6.926575683,25.30872799,5.488730137,11.63693222,7.873313982,9.064556276,72.0584114,3.706127784,30.00412103,4.669608749,8.362414029,17.83372898,31.33694501,3.638423696,..,_,2.53528181,12.77115363,8.121978451,3.119568296,9.044674075,..,75.46658826,14.59455088,11.97226276,22.30324755,8.19839513,17.27720627,..,0.555914466,1.597223971,9.385209213,28.99921495,26.75973014,3.364040559,28.47512067,8.92504752,..,17.4997758,19.06435762,9.800942096,27.70754021,8.26108345,21.14244478,20.16293857,4.252504932,7.072352959,6.712556933,8.245541548,2.262275039,43.65905131,17.97330989,1.544200561,6.542499075,4.271494471,82.48010232,_,14.76854629,5.572999703,4.187994107,28.80650055,70.58869728,40.15305033,_,6.708672286,7.206150325,27.64295468,9.216154689,12.71559453,37.5317611,1.011784983,12.57725795,5.249064962,16.48018623,9.460463506,33.31735516,1.357542367,..,17.36664661,49.96442794,78.77498632,78.40343412,18.88184799,6.184273214,23.4635303,21.82072844,1.79757498,16.36155511
Q3 2007,1.623596403,9.414658193,9.358305083,13.05663632,2.53528181,6.662950287,24.66036195,7.407800185,27.76600249,19.67339723,7.388552605,9.045436587,9.154712958,74.42242151,2.589493035,11.17136573,1.629251861,_,33.0011975,4.490699805,3.236547488,7.453721923,4.069604485,4.684247044,13.83120695,32.30269211,2.28298593,17.4247709,113.5998479,89.81611623,57.6263131,..,0.879856338,23.60158357,4.749928683,12.31886977,4.082089445,0.642897584,18.18487581,15.63356797,11.73137672,7.956328843,_,16.41381812,21.72614242,15.41004303,4.72891926,25.16058141,15.24824748,43.74036814,8.338967567,4.936217325,5.075426436,6.370862986,..,4.355671459,13.18818271,12.8297062,58.70000774,6.719409546,9.60248024,10.34251184,2.484974385,13.50317236,12.12499914,9.506481075,5.584891281,3.929024879,79.06325838,16.69251866,2.672139828,30.69146775,..,6.832748686,8.187255256,18.81048957,9.225499761,4.014661472,7.210641332,3.322494266,12.96088695,5.245580207,43.30736228,33.45357836,25.21341084,3.364564275,12.76153229,23.42052822,57.99915535,21.72654887,72.62490685,19.535712,12.88210798,..,0.633071651,71.38564543,10.67977055,6.905568054,25.56749272,5.488867833,11.4001011,7.445980377,8.952181847,72.29201582,3.706127784,30.07075757,4.669608749,5.259146235,19.52134124,31.12255354,3.638423696,..,_,2.53528181,14.0889427,8.137754691,3.119568296,8.8145693,..,76.51337116,15.00659653,13.04595398,21.7544693,8.490589487,17.13058199,..,0.555914466,1.597223971,10.12888631,29.05233124,26.74943992,3.364040559,28.83583048,9.14397586,..,17.48967038,19.84963287,10.74024191,26.45612387,8.26108345,21.93551674,21.02599222,4.66251268,7.072352959,6.444772383,8.626319687,2.72692573,44.33935063,16.98763014,1.544200561,6.305538671,4.271632167,83.9920218,_,13.91570929,5.572999703,4.175424723,32.91516916,70.78783365,39.71766324,_,8.695965625,7.210641332,27.49023594,13.5581166,13.20455865,36.36296302,1.011784983,12.79484321,4.719792348,16.11044848,8.584385195,33.89075306,1.357542367,..,18.38081242,49.53162087,78.22080202,78.11253918,19.00169348,6.184273214,23.86220105,22.03009763,1.79757498,16.97451809
Q4 2007,1.763720336,9.296862814,8.46424807,13.57218405,..,6.273557941,24.77851625,7.408367917,27.90332218,20.20697931,8.720313515,9.493157866,6.968077594,76.44101255,2.589493035,11.00624083,1.605984796,_,33.10664629,2.48126444,3.734389529,6.853800315,4.069604485,5.054364605,14.2537068,33.20979436,2.281430944,17.06375346,117.9017762,93.54458233,57.55577916,..,..,24.53014507,4.749928683,12.82560558,4.080123011,..,16.45285731,16.26310136,12.1658028,7.904294977,_,17.82127771,22.71418769,14.94100197,3.921953194,24.32569584,14.72934376,45.11844006,8.338967567,5.212864722,4.309963733,6.370862986,..,4.355671459,11.93971642,12.84172459,59.25451716,5.692421334,9.340859616,9.758938467,2.484974385,13.6745492,12.09939619,10.08851217,4.989508216,4.16377715,82.34786259,16.69957831,2.672139828,31.76613046,..,6.380848952,8.123375284,18.79152293,9.621540074,4.014661472,7.782679315,3.829544216,12.95339671,5.248641295,43.34773438,34.82407421,25.7265277,3.110148073,12.55319298,22.28415715,59.29924689,21.4684745,72.63299017,18.86052606,12.85050753,..,1.133841662,72.68426396,10.95475073,6.666354209,25.89336221,7.433354921,11.90604383,7.397416901,9.341966286,77.229703,3.706466728,28.89640962,3.97764781,4.66376317,19.05194654,30.9441335,3.828195335,..,_,..,26.84699684,6.503342321,3.409882318,8.536042726,..,80.37261622,13.73634716,12.66782466,21.72314921,8.490886063,16.94767066,..,0.555914466,3.828195335,10.48955581,29.88519006,25.47049405,3.77339898,29.63667897,9.335399436,0.977448593,17.24855866,20.8216983,9.260807642,27.42255947,8.587970631,22.56991685,22.89602186,4.272216729,6.493633908,6.38348785,8.692505959,2.72692573,45.4991119,16.74934179,1.544200561,6.085981441,5.820640793,85.10210417,_,14.14033241,5.665916504,4.175424723,29.46646789,71.81933229,39.41899432,_,8.646302064,6.782606003,26.86061262,13.64950978,12.33101067,38.29916144,0.730256957,12.25256653,4.510074648,16.81839375,9.273439226,34.64952465,1.097680631,..,19.4702604,50.75141776,78.15352236,76.24821203,19.1782532,6.033739371,23.84042835,22.04041835,1.79757498,17.0525658
Q1 2008,1.85732554,9.255507957,8.46424807,13.77450243,..,6.367756297,27.2364079,7.447844849,28.55478251,19.7989673,8.736939071,8.706436568,8.602981033,76.9610173,4.871212242,12.0114146,1.615978926,_,35.06355562,2.48126444,3.734389529,6.579206105,5.640614609,6.474743029,14.26932128,33.65402355,1.743026642,16.90608574,117.5327393,92.7244407,57.67051817,..,..,25.76810601,1.509130316,13.31081487,3.812726324,..,16.67005073,18.28248994,14.86409126,7.897410178,_,17.75058537,23.88401209,14.46521,3.881896651,25.54524427,14.51755185,46.06211021,8.398147598,5.213856499,2.766102679,6.105070916,..,4.205038214,11.69653905,13.05904951,59.66519814,5.697346613,9.346325087,9.761385218,2.484974385,13.6755372,11.8550876,10.09580561,5.236524496,4.736346813,83.42512614,16.79126076,2.672139828,28.16977886,..,6.380118105,8.123375284,17.67208132,10.36929068,4.057650495,8.046087427,4.14756165,11.84321316,5.09800805,43.36876512,35.0666056,20.34711999,3.110148073,12.40068237,22.14576284,57.14598863,20.75207757,73.69172767,18.45315543,12.3570107,..,0.888144757,72.09259033,10.88557681,6.2069132,26.38556839,6.762062344,13.25008302,7.778798766,9.342362225,77.62624875,3.706466728,28.8411727,3.97764781,4.66376317,18.66764059,32.01513754,3.828195335,..,1.544200561,..,28.12631271,6.503924881,3.409659886,10.27681389,..,79.48258645,14.08416182,12.42455897,21.67085314,8.538919782,18.97103023,..,0.555914466,3.828195335,8.683166431,28.64250995,26.39690543,3.77339898,29.80878065,9.336802469,0.977448593,17.22422572,20.5282997,9.113310708,36.43614381,8.331696323,22.7898149,23.19957257,4.273964409,6.49290306,6.648793873,8.521398293,2.119447996,45.34464096,16.4964448,_,6.175977668,5.971274038,86.46240819,_,17.06926051,5.667319536,4.175424723,32.54652623,71.5701001,39.89263434,_,7.561862547,7.618052098,27.06179679,15.29262721,11.9787313,37.29593132,0.730256957,12.65660184,4.510074648,16.99188535,9.273418042,36.06872063,1.097680631,..,21.29395792,51.60348408,77.68721233,74.12766357,19.39421323,6.035142403,24.34649204,23.75039669,1.79757498,16.89314708
Q2 2008,1.886674129,10.92872925,8.655767814,14.19296583,..,5.428254985,26.35376843,7.281046925,29.2689816,19.39575679,8.492759179,7.420150036,8.752127867,78.30862108,4.871212242,11.96278314,1.615978926,_,33.81398577,2.48126444,3.734389529,6.992187021,6.352820942,6.482432819,14.33035409,37.3601395,1.743026642,19.0521156,118.5256589,91.96465036,59.40868447,..,..,25.92806551,1.509130316,13.6342587,4.971260687,1.447446845,16.79247345,19.5198376,14.1611367,7.145077452,_,13.81735439,25.41505613,12.55053934,3.881896651,24.48485499,15.40687225,47.28982706,8.491019209,4.976770007,2.766102679,6.335916329,..,4.456140278,12.03840524,13.53850258,59.10141639,5.541925785,9.34043064,9.024563082,2.484974385,13.37494722,12.22870684,10.25425444,5.236524496,4.874692139,82.65686775,17.71707727,2.673432052,28.063352,..,6.380188718,8.127876884,17.11471783,10.92537764,4.057650495,8.000034639,4.39874679,11.22221282,5.349110114,44.21401444,35.34132229,21.06428309,3.781025307,11.32354447,22.10690293,58.45310331,20.9380043,73.24961268,17.72669889,11.82805221,..,0.888144757,72.68892769,11.22249255,6.461323123,20.55029532,6.907878295,12.41154898,8.099174425,9.519167462,71.70419394,2.816254106,29.99682775,3.97764781,4.740067555,18.55371886,32.43659323,3.87027495,..,1.544200561,..,29.86642306,7.801927783,4.548367779,11.03710996,..,78.96929486,13.89242699,12.31157141,21.87773549,8.637638176,19.65430801,..,0.555914466,3.87027495,9.612112088,30.68245779,26.93030788,3.815478596,30.33118944,9.338205501,0.977448593,18.71926945,19.10489106,9.847387492,36.38484868,8.818219966,22.24630771,23.16642567,4.274035022,6.642049894,6.648864486,8.712918036,2.593500275,44.58619481,18.91148558,_,6.171862324,5.972884022,87.56683899,_,17.05857163,5.668722568,3.900291384,30.94507714,72.97097659,42.06238874,_,8.076593685,7.57199931,28.49484978,14.0616908,11.16482245,35.98333174,0.730256957,12.4894173,4.720724444,16.81344878,8.723901118,35.90307501,1.097680631,2.114196793,21.00442366,51.57677682,77.30588322,75.55679519,18.67557106,6.187823977,23.98394993,24.36563419,2.114196793,16.37030493
